AGC Commander Log file.   Start Time:   04-09-2023  10:13:51
AGC: 1 No Response from Transmitter 04-09-2023  10:13:51
AGC: 2 No Response from Transmitter 04-09-2023  10:13:52
AGC: 3 No Response from Transmitter 04-09-2023  10:13:53
AGC: 4 No Response from Transmitter 04-09-2023  10:13:54
AGC: 5 No Response from Transmitter 04-09-2023  10:13:55
AGC: 6 No Response from Transmitter 04-09-2023  10:13:56
AGC: 7 No Response from Transmitter 04-09-2023  10:13:57
AGC: 8 No Response from Transmitter 04-09-2023  10:13:58
AGC: 9 No Response from Transmitter 04-09-2023  10:13:59
AGC: 10 No Response from Transmitter 04-09-2023  10:14:00
AGC: 11 No Response from Transmitter 04-09-2023  10:14:01
AGC: 12 No Response from Transmitter 04-09-2023  10:14:02
AGC: 13 No Response from Transmitter 04-09-2023  10:14:03
AGC: 14 No Response from Transmitter 04-09-2023  10:14:04
AGC: 15 No Response from Transmitter 04-09-2023  10:14:05
AGC: 16 No Response from Transmitter 04-09-2023  10:14:06
AGC Commander Log file.   Start Time:   04-09-2023  10:15:27
AGC: 1 No Response from Transmitter 04-09-2023  10:15:27
AGC: 2 No Response from Transmitter 04-09-2023  10:15:28
AGC: 3 No Response from Transmitter 04-09-2023  10:15:29
AGC: 4 No Response from Transmitter 04-09-2023  10:15:30
AGC: 5 No Response from Transmitter 04-09-2023  10:15:31
AGC: 6 No Response from Transmitter 04-09-2023  10:15:32
AGC: 7 No Response from Transmitter 04-09-2023  10:15:33
AGC: 8 No Response from Transmitter 04-09-2023  10:15:34
AGC: 9 No Response from Transmitter 04-09-2023  10:15:35
AGC: 10 No Response from Transmitter 04-09-2023  10:15:36
AGC: 11 No Response from Transmitter 04-09-2023  10:15:37
AGC: 12 No Response from Transmitter 04-09-2023  10:15:38
AGC: 13 No Response from Transmitter 04-09-2023  10:15:39
AGC: 14 No Response from Transmitter 04-09-2023  10:15:40
AGC: 15 No Response from Transmitter 04-09-2023  10:15:41
AGC: 16 No Response from Transmitter 04-09-2023  10:15:42
AGC Commander Log file.   Start Time:   04-09-2023  10:16:25
AGC: 1 No Response from Transmitter 04-09-2023  10:16:25
AGC: 2 No Response from Transmitter 04-09-2023  10:16:26
AGC: 3 No Response from Transmitter 04-09-2023  10:16:27
AGC: 4 No Response from Transmitter 04-09-2023  10:16:28
AGC: 5 No Response from Transmitter 04-09-2023  10:16:29
AGC: 6 No Response from Transmitter 04-09-2023  10:16:30
AGC: 7 No Response from Transmitter 04-09-2023  10:16:31
AGC: 8 No Response from Transmitter 04-09-2023  10:16:32
AGC: 9 No Response from Transmitter 04-09-2023  10:16:33
AGC: 10 No Response from Transmitter 04-09-2023  10:16:34
AGC: 11 No Response from Transmitter 04-09-2023  10:16:35
AGC: 12 No Response from Transmitter 04-09-2023  10:16:36
AGC: 13 No Response from Transmitter 04-09-2023  10:16:37
AGC: 14 No Response from Transmitter 04-09-2023  10:16:38
AGC: 15 No Response from Transmitter 04-09-2023  10:16:39
AGC: 16 No Response from Transmitter 04-09-2023  10:16:40
AGC Commander Log file.   Start Time:   04-09-2023  10:19:13
AGC: 1 No Response from Transmitter 04-09-2023  10:19:13
AGC: 2 No Response from Transmitter 04-09-2023  10:19:14
AGC: 3 No Response from Transmitter 04-09-2023  10:19:15
AGC: 4 No Response from Transmitter 04-09-2023  10:19:16
AGC: 5 No Response from Transmitter 04-09-2023  10:19:17
AGC: 6 No Response from Transmitter 04-09-2023  10:19:18
AGC: 7 No Response from Transmitter 04-09-2023  10:19:19
AGC: 8 No Response from Transmitter 04-09-2023  10:19:20
AGC: 9 No Response from Transmitter 04-09-2023  10:19:21
AGC: 10 No Response from Transmitter 04-09-2023  10:19:22
AGC: 11 No Response from Transmitter 04-09-2023  10:19:23
AGC: 12 No Response from Transmitter 04-09-2023  10:19:24
AGC: 13 No Response from Transmitter 04-09-2023  10:19:25
AGC: 14 No Response from Transmitter 04-09-2023  10:19:26
AGC: 15 No Response from Transmitter 04-09-2023  10:19:27
AGC: 16 No Response from Transmitter 04-09-2023  10:19:28
AGC Commander Log file.   Start Time:   04-09-2023  10:24:31
AGC: 1 No Response from Transmitter 04-09-2023  10:24:31
AGC: 2 No Response from Transmitter 04-09-2023  10:24:32
AGC: 3 No Response from Transmitter 04-09-2023  10:24:33
AGC: 4 No Response from Transmitter 04-09-2023  10:24:34
AGC: 5 No Response from Transmitter 04-09-2023  10:24:35
AGC: 6 No Response from Transmitter 04-09-2023  10:24:36
AGC: 7 No Response from Transmitter 04-09-2023  10:24:37
AGC: 8 No Response from Transmitter 04-09-2023  10:24:38
AGC: 9 No Response from Transmitter 04-09-2023  10:24:39
AGC: 10 No Response from Transmitter 04-09-2023  10:24:40
AGC: 11 No Response from Transmitter 04-09-2023  10:24:41
AGC: 12 No Response from Transmitter 04-09-2023  10:24:42
AGC: 13 No Response from Transmitter 04-09-2023  10:24:43
AGC: 14 No Response from Transmitter 04-09-2023  10:24:44
AGC: 15 No Response from Transmitter 04-09-2023  10:24:45
AGC: 16 No Response from Transmitter 04-09-2023  10:24:46
AGC Commander Log file.   Start Time:   04-09-2023  10:26:03
AGC: 1 No Response from Transmitter 04-09-2023  10:26:03
AGC: 2 No Response from Transmitter 04-09-2023  10:26:04
AGC: 3 No Response from Transmitter 04-09-2023  10:26:05
AGC: 4 No Response from Transmitter 04-09-2023  10:26:06
AGC: 5 No Response from Transmitter 04-09-2023  10:26:07
AGC: 6 No Response from Transmitter 04-09-2023  10:26:08
AGC: 7 No Response from Transmitter 04-09-2023  10:26:09
AGC: 8 No Response from Transmitter 04-09-2023  10:26:10
AGC: 9 No Response from Transmitter 04-09-2023  10:26:11
AGC: 10 No Response from Transmitter 04-09-2023  10:26:12
AGC: 11 No Response from Transmitter 04-09-2023  10:26:13
AGC: 12 No Response from Transmitter 04-09-2023  10:26:14
AGC: 13 No Response from Transmitter 04-09-2023  10:26:15
AGC: 14 No Response from Transmitter 04-09-2023  10:26:16
AGC: 15 No Response from Transmitter 04-09-2023  10:26:17
AGC: 16 No Response from Transmitter 04-09-2023  10:26:18
AGC Commander Log file.   Start Time:   04-09-2023  11:01:09
AGC: 1 No Response from Transmitter 04-09-2023  11:01:09
AGC: 2 No Response from Transmitter 04-09-2023  11:01:10
AGC: 3 No Response from Transmitter 04-09-2023  11:01:11
AGC: 4 No Response from Transmitter 04-09-2023  11:01:13
AGC: 5 No Response from Transmitter 04-09-2023  11:01:14
AGC: 6 No Response from Transmitter 04-09-2023  11:01:15
AGC: 7 No Response from Transmitter 04-09-2023  11:01:16
AGC: 8 No Response from Transmitter 04-09-2023  11:01:17
AGC: 9 No Response from Transmitter 04-09-2023  11:01:18
AGC: 10 No Response from Transmitter 04-09-2023  11:01:19
AGC: 11 No Response from Transmitter 04-09-2023  11:01:20
AGC: 12 No Response from Transmitter 04-09-2023  11:01:21
AGC: 13 No Response from Transmitter 04-09-2023  11:01:22
AGC: 14 No Response from Transmitter 04-09-2023  11:01:23
AGC: 15 No Response from Transmitter 04-09-2023  11:01:24
AGC: 16 No Response from Transmitter 04-09-2023  11:01:25
AGC Commander Log file.   Start Time:   04-09-2023  12:05:25
AGC: 1 No Response from Transmitter 04-09-2023  12:05:25
AGC: 2 No Response from Transmitter 04-09-2023  12:05:26
AGC: 3 No Response from Transmitter 04-09-2023  12:05:27
AGC: 4 No Response from Transmitter 04-09-2023  12:05:28
AGC: 5 No Response from Transmitter 04-09-2023  12:05:29
AGC: 6 No Response from Transmitter 04-09-2023  12:05:30
AGC: 7 No Response from Transmitter 04-09-2023  12:05:31
AGC: 8 No Response from Transmitter 04-09-2023  12:05:32
AGC: 9 No Response from Transmitter 04-09-2023  12:05:33
AGC: 10 No Response from Transmitter 04-09-2023  12:05:34
AGC: 11 No Response from Transmitter 04-09-2023  12:05:35
AGC: 12 No Response from Transmitter 04-09-2023  12:05:36
AGC: 13 No Response from Transmitter 04-09-2023  12:05:37
AGC: 14 No Response from Transmitter 04-09-2023  12:05:38
AGC: 15 No Response from Transmitter 04-09-2023  12:05:39
AGC: 16 No Response from Transmitter 04-09-2023  12:05:40
